iter	Passed	Remaining
0	60	30436
1	67	16766
2	72	12010
3	78	9707
4	83	8231
5	89	7363
6	95	6746
7	101	6255
8	108	5925
9	113	5538
10	117	5209
11	120	4916
12	123	4632
13	127	4430
14	131	4257
15	136	4122
16	140	3980
17	144	3868
18	147	3731
19	150	3615
20	153	3504
21	157	3413
22	160	3332
23	163	3243
24	166	3160
25	169	3089
26	171	3008
27	174	2943
28	177	2888
29	180	2835
30	184	2788
31	187	2738
32	190	2689
33	193	2652
34	196	2615
35	199	2577
36	202	2539
37	205	2501
38	209	2471
39	212	2438
40	215	2414
41	218	2382
42	221	2349
43	223	2320
44	226	2292
45	229	2262
46	232	2238
47	234	2209
48	237	2187
49	240	2165
50	244	2149
51	247	2134
52	251	2124
53	255	2110
54	259	2099
55	262	2082
56	265	2064
57	268	2046
58	271	2029
59	274	2013
60	277	1998
61	280	1979
62	283	1966
63	286	1950
64	289	1934
65	292	1921
66	295	1909
67	298	1895
68	301	1880
69	303	1866
70	306	1850
71	309	1839
72	312	1826
73	315	1816
74	318	1804
75	321	1792
76	324	1782
77	327	1771
78	330	1760
79	333	1750
80	336	1738
81	338	1727
82	341	1715
83	344	1707
84	347	1696
85	349	1684
86	352	1674
87	355	1666
88	358	1657
89	362	1649
90	365	1641
91	368	1632
92	371	1625
93	374	1616
94	377	1607
95	380	1599
96	382	1590
97	385	1582
98	388	1572
99	391	1565
100	394	1557
101	397	1551
102	400	1543
103	403	1535
104	407	1531
105	410	1526
106	414	1520
107	417	1514
108	419	1505
109	422	1499
110	426	1494
111	429	1487
112	432	1480
113	434	1471
114	437	1464
115	440	1457
116	443	1450
117	445	1443
118	448	1437
119	451	1430
120	454	1423
121	457	1416
122	460	1410
123	463	1404
124	466	1398
125	469	1392
126	472	1388
127	475	1381
128	477	1374
129	480	1368
130	483	1362
131	486	1356
132	489	1350
133	491	1343
134	494	1337
135	497	1331
136	500	1325
137	503	1321
138	506	1315
139	509	1309
140	512	1303
141	515	1298
142	518	1293
143	521	1288
144	524	1283
145	526	1277
146	529	1271
147	532	1266
148	534	1260
149	537	1254
150	540	1248
151	542	1243
152	545	1238
153	549	1234
154	552	1229
155	556	1226
156	559	1222
157	562	1218
158	565	1213
159	569	1210
160	572	1205
161	575	1201
162	578	1196
163	581	1192
164	584	1186
165	587	1181
166	589	1175
167	592	1170
168	596	1167
169	599	1162
170	601	1157
171	604	1152
172	607	1147
173	609	1142
174	613	1138
175	616	1134
176	619	1131
177	622	1126
178	625	1121
179	628	1117
180	631	1112
181	634	1108
182	637	1103
183	640	1099
184	643	1094
185	646	1090
186	649	1086
187	652	1082
188	655	1077
189	658	1073
190	661	1069
191	663	1064
192	665	1059
193	668	1054
194	671	1050
195	674	1045
196	676	1041
197	680	1037
198	683	1033
199	686	1029
200	688	1024
201	691	1020
202	694	1016
203	697	1012
204	700	1008
205	704	1004
206	707	1001
207	710	997
208	713	993
209	716	989
210	718	984
211	722	981
212	725	977
213	728	973
214	731	969
215	734	965
216	737	961
217	740	957
218	743	953
219	745	949
220	748	945
221	751	941
222	754	936
223	757	932
224	759	928
225	762	924
226	766	921
227	768	917
228	771	913
229	774	909
230	777	905
231	780	901
232	782	897
233	785	893
234	788	889
235	791	885
236	794	881
237	796	877
238	799	872
239	802	868
240	805	865
241	808	861
242	810	857
243	813	853
244	817	850
245	819	846
246	822	842
247	825	838
248	828	835
249	831	831
250	834	827
251	837	823
252	839	819
253	843	816
254	846	813
255	849	809
256	851	805
257	854	801
258	858	798
259	861	795
260	864	792
261	868	788
262	871	785
263	874	781
264	877	778
265	880	774
266	883	770
267	886	767
268	888	763
269	892	760
270	895	756
271	897	752
272	900	749
273	903	745
274	906	741
275	909	738
276	913	735
277	916	731
278	919	728
279	922	724
280	924	720
281	927	717
282	930	713
283	933	709
